"Plants for multiple sectors,multiple states,conventional hydroelectric"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=00000008&pt=&pm=&sec=vvo&geo=00000006&wd=&ws=&wsn=&wt=&freq=M&datecode=201802&tab=generation&start=200101&end=201710&ctype=linechart&maptype=0%3Cype&rse=0&pin="
"Wed Nov 27 2019 21:02:40 GMT+0100 (Central European Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","ALL","WAT","DFO","NG","JF","BIT","RFO"
"99 Islands",6297,6297,"--","--","--","--","--"
"Avalon Hydropower",400,400,"--","--","--","--","--"
"Bad Creek",-5628,-5628,"--","--","--","--","--"
"Bear Creek Dam",2816,2816,"--","--","--","--","--"
"Blewett",6688,6683,4,"--","--","--","--"
"Boyds Mill Hydro",324,324,"--","--","--","--","--"
"Bridgewater",8900,8900,"--","--","--","--","--"
"Buzzard Roost",3162,3162,0,0,"--","--","--"
"Cedar Cliff",2088,2088,"--","--","--","--","--"
"Cedar Creek",13473,13473,"--","--","--","--","--"
"Chatuge",2729,2729,"--","--","--","--","--"
"Cheoah",43554,43554,"--","--","--","--","--"
"Cherokee Falls",899,899,"--","--","--","--","--"
"Clifton Dam 3 Power Station",357,357,"--","--","--","--","--"
"Cowans Ford",23536,23536,"--","--","--","--","--"
"Dearborn",16801,16801,"--","--","--","--","--"
"Fairfield Pumped Storage",-6654,-6654,"--","--","--","--","--"
"Falls Hydro",12056,12056,"--","--","--","--","--"
"Fishing Creek",15396,15396,"--","--","--","--","--"
"Fontana Dam",87016,87016,"--","--","--","--","--"
"Franklin (NC)",282,282,"--","--","--","--","--"
"Gaston",10002,10002,"--","--","--","--","--"
"Gaston Shoals",1111,1111,"--","--","--","--","--"
"Great Falls (SC)",-7,-7,"--","--","--","--","--"
"Haw River Hydro",509,509,"--","--","--","--","--"
"High Rock Hydro",11544,11544,"--","--","--","--","--"
"High Shoals Hydro (NC)",468,468,"--","--","--","--","--"
"Hiwassee Dam",33293,33293,"--","--","--","--","--"
"Hollidays Bridge Hydro",981,981,"--","--","--","--","--"
"J Strom Thurmond",46523,46523,"--","--","--","--","--"
"Jefferies",16128,16128,0,"--",0,0,0
"Jocassee",3175,3175,"--","--","--","--","--"
"Jordan Hydroelectric Project",779,779,"--","--","--","--","--"
"Keowee",7422,7422,"--","--","--","--","--"
"Lake Lure",796,796,"--","--","--","--","--"
"Lockhart",6648,6648,"--","--","--","--","--"
"Lockville Hydropower",26,26,"--","--","--","--","--"
"Lookout Shoals",12322,12322,"--","--","--","--","--"
"Marshall Dam",61,61,"--","--","--","--","--"
"Metropolitan Sewerage District",519,519,"--","--","--","--","--"
"Mission",407,407,"--","--","--","--","--"
"Mountain Island",15693,15693,"--","--","--","--","--"
"Nantahala",20431,20431,"--","--","--","--","--"
"Narrows (NC)",44832,44832,"--","--","--","--","--"
"Neal Shoals",1978,1978,"--","--","--","--","--"
"Oxford Dam",8128,8128,"--","--","--","--","--"
"Parr Hydro",4086,4086,"--","--","--","--","--"
"Pelzer Lower",774,774,"--","--","--","--","--"
"Pelzer Upper",774,774,"--","--","--","--","--"
"Piedmont Hydro Power Project",490,490,"--","--","--","--","--"
"Queens Creek",349,349,"--","--","--","--","--"
"Rhodhiss",9022,9022,"--","--","--","--","--"
"Roanoke Rapids",28437,28437,"--","--","--","--","--"
"Rocky Creek",-15,-15,"--","--","--","--","--"
"Rocky Mount Mill",0,0,"--","--","--","--","--"
"Rocky River (SC)",464,463,1,"--","--","--","--"
"Saluda Dam",834,834,"--","--","--","--","--"
"Saluda Lexington",16799,16799,"--","--","--","--","--"
"Santeetlah",10801,10801,"--","--","--","--","--"
"Spartanburg Water System",260,260,0,"--","--","--","--"
"Spillway",1115,1115,"--","--","--","--","--"
"St Stephen",25216,25216,"--","--","--","--","--"
"Tennessee Creek",3639,3639,"--","--","--","--","--"
"Thorpe",7262,7262,"--","--","--","--","--"
"Tillery",18046,18046,"--","--","--","--","--"
"Tuckasegee",535,535,"--","--","--","--","--"
"Tuckertown Hydro",12435,12435,"--","--","--","--","--"
"Turner Shoals",2176,2176,"--","--","--","--","--"
"Tuxedo",2561,2561,"--","--","--","--","--"
"Upper Pacolet Hydro",369,369,"--","--","--","--","--"
"Walters",36139,36139,"--","--","--","--","--"
"Ware Shoals Hydro Project",2588,2588,"--","--","--","--","--"
"Wateree Hydro",25412,25412,"--","--","--","--","--"
"Wylie",13296,13296,"--","--","--","--","--"